,Billboard Hit Number,Songs,Artist,Genre,Gender,Lyrics,Year
72,73,"""Better Days""","Neiked, Mae Muller and Polo G",Nu-disco,Male,"
I've been feelin' lonely
I need someone to hold me
Come on, baby, hold me
Yeah, I've been feelin' jaded
Don't know how I should play it
Tell me how to play it
Now you, you've been movin' on
Let me know, can I come along?
Since you're gone, oh, its been so long
On my own, my own, my own, my own
Livin' in a haze, stayin' in the shade
All I do is sit around and wait for better days
I could use a break, can I get an ""Amen""?
All I do is sit around and wait for better days
Uh, uh
Can I get an ""Amen""? Introverted, can't make friends
Pray for better days, now it's three hundred K when my day ends
Do you remember last night? 'Cause I blacked out
In that all white dress with her back out
Said, ""Be careful with her heart 'cause it's fragile""
And thinkin' 'bout her past make her lash out
See, with me, it ain't no worries at all
Any problem, I'll be there, one call
If we locked in, you my dawg
Fan of you, I hang pictures on my wall
Roll one, let's get high tonight
Backseat, Maybach, lavish life
Chillin' with the stars like a satellite
AP on my arm and it's shinin' bright, uh
You might also like
Livin' in a haze (Haze), stayin' in the shade (The shade)
All I do is sit around and wait for better days (Sit around and wait)
I could use a break, can I get an ""Amen""? (Amen)
All I do is sit around and wait for better days
Sit around, sit around, sit around and wait
For better, better, better days, oh
I could use a break, oh
Better, better, better, better
For better days, oh-oh
All I do is sit around and wait for better days
Better days
All I do is sit around and wait for better days7
",2022
73,74,"""Meet Me at Our Spot""",The Anxiety: Willow and Tyler Cole,Alternative rock,Female,"
When I wake up
I can't even stay up
I slept through the day, fuck
I'm not getting younger
But when I'm older
I'll be so much stronger
I'll stay up for longer
Meet me at our spot
Caught a vibe (Woo, woo)
Baby, are you coming for the ride? (The ride, the ride, the ride)
I just wanna look into your eyes (Your eyes, your eyes)
I just wanna stay for the night, night, night
When we take a drive (Woo, woo)
Maybe we can hit the 405
Hypnotized by the lights
Man, this must be the life
When I go to sleep
I can't even fall asleep
Something's got ahold of me
Feel it taking over me
But when I'm older I'll be moving onward
I just got a drunk text (Meet me at our spot)
You might also like
We caught a vibe (Yeah, yeah)
Baby, are you coming for the ride? (The ride, the ride, the ride)
When I look into your eyes (Your eyes, your eyes)
I just wanna hold you all night (All night)
Maybe we can take a drive (Take a drive)
Baby, we can hit the 405
Hypnotized by the lights
Man, this must be the life
Meet me at our spot
Got something I wanna show you
Meet me at our spot
They can't find us there
Meet me at our spot
Got something I wanna show you
Meet me at our spot
They can't find us there
Caught a vibe (Woo, woo)
Baby, are you coming for the ride? (The ride, the ride, the ride)
I just wanna look into your eyes (Into your eyes)
I just wanna stay for the night, night, night
When we take a drive (Woo, woo)
Maybe we can hit the 405
Hypnotized by the lights
Man, this must be the life33
",2022
74,75,"""Fingers Crossed""",Lauren Spencer-Smith,Pop,Female,"
Introduced me to your family
Watched my favorite shows on your TV
Made me breakfast in the mornin'
When you got home from work
Makin' plans to travel 'round the world
Said we'd always put each other first
Old love songs we used to play to
Funny, now I hate you
Now, I
Remember when you'd call me late at night
I gave you my hours and advice just tryna fix you
And all your daddy issues
But now, I don't even miss you anymore
So, I
I want all the tears back that I cried
All the hours spent givin' advice on how to write your songs
All you did was prove me wrong
When you said you loved me
Well, you must've had your fingers crossed
Shoulda paid attention to my friends
Tellin' me how bad it's gonna end
Always givin' their opinions
Now I wish I would have listened
You might also like
I could say I'm sorry, but I'm not
You don't deserve the one thing that you lost
Now, I
Remember when you'd call me late at night
And I gave you my hours and advice just tryna fix you
And all your daddy issues
But now, I don't even miss you anymore
So, I
I want all the tears back that I cried
All the hours spent givin' advice on how to write your songs
All you did was prove me wrong
When you said you loved me
Well, you must've had your fingers crossed
(Oh-oh, oh-oh) Your fingers crossed
(Oh-oh, oh-oh) Your fingers crossed
(Oh-oh, oh-oh) Oh, when you said you loved me
Well, you must've had your fingers crossed
Oh, I
I want all the tears back that I cried
All the hours spent giving advice on how to write your songs
All you did was prove me wrong
Wish you said you loved me
When you didn't have your fingers crossed17
",2022
75,76,"""All Too Well (Taylor's Version)""",Taylor Swift,Pop rock,Female,"
I walked through the door with you, the air was cold
But something 'bout it felt like home somehow
And I left my scarf there at your sister's house
And you've still got it in your drawer, even now
Oh, your sweet disposition and my wide-eyed gaze
We're singing in the car, getting lost upstate
Autumn leaves falling down like pieces into place
And I can picture it after all these days
And I know it's long gone and
That magic's not here no more
And I might be okay, but I'm not fine at all
Oh, oh, oh
'Causе there we arе again on that little town street
You almost ran the red 'cause you were lookin' over at me
Wind in my hair, I was there
I remember it all too well
Photo album on the counter, your cheeks were turning red
You used to be a little kid with glasses in a twin-sized bed
And your mother's telling stories 'bout you on the tee-ball team
You taught me 'bout your past, thinking your future was me
See Taylor Swift LiveGet tickets as low as $250You might also like
And I know it's long gone and
There was nothing else I could do
And I forget about you long enough
To forget why I needed to
'Cause there we are again in the middle of the night
We're dancing 'round the kitchen in the refrigerator light
Down the stairs, I was there
I remember it all too well, yeah
And maybe we got lost in translation
Maybe I asked for too much
But maybe this thing was a masterpiece
'Til you tore it all up
Running scared, I was there
I remember it all too well
And you call me up again
Just to break me like a promise
So casually cruel in the name of being honest
I'm a crumpled up piece of paper lying here
'Cause I remember it all, all, all
Too well
Time won't fly, it's like I'm paralyzed by it
I'd like to be my old self again, but I'm still trying to find it
After plaid shirt days and nights when you made me your own
Now you mail back my things and I walk home alone
But you keep my old scarf from that very first week
'Cause it reminds you of innocence and it smells like me
You can't get rid of it
'Cause you remember it all too well, yeah
'Cause there we are again when I loved you so
Back before you lost the one real thing you've ever known
It was rare, I was there
I remember it all too well
Wind in my hair, you were there
You remember it all
Down the stairs, you were there
You remember it all
It was rare, I was there
I remember it all too well18
",2022
76,77,"""Party""",Bad Bunny and Rauw Alejandro,Reggaeton,Male,"

Yeah, dice
Ra-Rauw
Ella lleva un tiempo soliá
Pero en las rede' no sube na'
Oh-oh (No, no), me pone a maquinear, -a-ar
Hoy quiere fluir, cansa' de pensar, -ar
Enrola y va a quemar, ah-ay (Ey)
Hoy se quiere soltar
No quiere amarrarse, solo quiere
Party, party, party, party
Party, party, party, party
Party, party, party, party
Party, party, party, pa—
Party, party, party, party
Party, party, party, party
Party, party, party, party (Yeah-yeah-yeah-yeah, ey)
Party, party, party, party
Se miró al espejo (Uh)
Y vio que está buenota
Vio que está buenota y quiere perreo, y coger una nota
Yo te azoto esa' nalgota' cuando tú quiera'
Puesto pa' tus bellaquera'
Y perreártela' la noche entera
Solo abren la cartera
Nos fuimo' sin que nadie viera
Baby, qué afrenta'
Tú quieres con do' y no sé si va' a aguantar (Ey)
Tanto asiento que hay
Y encima de mi bicho e' que te quiere' sentar
Te tengo el toto sentimental, uh
El panty moja'o
La nota en alta, no me ha baja'o
Dice que está soltera y todavía no se ha deja'o
Y que se atreve con Benito y con Rauw, jeje
Tú me gusta par, me gusta par
Salimo' de Threehouse, no' fuimo' pa' Ocean Park
Corriendo Can-Am, bebiendo champán
Mañana te compro un Taycan
You might also like
Ey, ey, tú te mueve' rico como las de E11EVEN
Sabe que está rica y se da guille porque puede
Yo estoy puesto, tú está' puesta, ¿y quién se atreve?
Dime quién se atreve
Que en el hotel va a ser el after—
Party, party, party, party (Ey, ey, ey)
Party, party, party, party (Vamo' pa'l after party)
Party, party, party, party (Ey, ey, ey)
Party, party, party, pa— (En el cuarto o en el Bugatti)
Party, party, party, party (Ey, ey, ey)
Party, party, party, party
Party, party, party, party
Party, party, party, party
Ra-Rauw
Un bellaqueo bien nasty (Uh-uh)
El culo real, pero las teta' son plastic (Ih-ih)
Tiene un abdomen, parece que hace fasting (Ey)
Pero cuando come, se lo traga, no lo mastic, ey
Ahora es full ten, cuarenta hora' de sateo (Ah)
Wheeliando los Four Truck, le gusta el maleanteo (Woh)
Lo dejó atrá', a su ex le bajó el de'o (Ey)
Ella pide El Zorro y El Conejo en un perreo (¡Yah!)
Dime si tú quieres dulce
De fuga'o nos perdimo' en Santurce (Oh-oh)
En la disco que apaguen las luce' (Yeh-yeh)
Que esas nalga' son pa' que las use' (Yeh-yeh)
De ti, yo me dejo que abuses
Tú me tiene' en un bucle
Antes de que entre le escupe (Mami)
La puse a brincar y en la cama hicimo' un— (¡Yah!)
Party, party, party, party (Woh-oh, oh)
Party, party, party, party (En la cama hicimo' un—)
Party, party, party, party (Yeah)
Party, party, party, pa— (En la cama hicimo' un—)
Party, party, party, party (Woh-oh, oh)
Party, party, party, party (Yeah)
Party, party, party, party
Party, party, party, party
Jajajajai
Uy, disfrutando la noche y muchas cosas, bella
Todos son santos cuando hablan de los pecados ajenos
Uy, jajajajaja
Ay, ay, la vida
¿Quién entiende estas cosas? ¿Quién la' entiende?
Uy, jajajaja5
",2022
77,78,"""Después de la Playa""",Bad Bunny,Merengue,Male,"

Yeah-yeah, yeah-yeah, yeah-yeah
Eh-eh
Ja, ja
Eh-eh, eh-eh, eh
Tú dice' que no me atrevo
Si supiera' que yo ando a fuego
Dime qué tú juega' y yo lo juego
No lo dejemo' pa' luego, no
Que la luz ya se fue
Y la noche llegó, ey
Quiero saber si usted quiere lo mismo que yo
Dime pa' dónde vamo' después de la playa
Si nos secamo', yo traigo la toalla
Y de nuevo nos mojamo', pero en mi cama
Te vo'a dar tabla de surfear, yeah
Dime pa' dónde vamo' después de la playa
Si nos secamo', yo traigo la toalla
Y de nuevo nos mojamo', pero en mi cama
Te vo'a dar tabla de surfear, bebé
See Bad Bunny LiveGet tickets as low as $450You might also like
Dime, ¿vamo' pa'l mambo o no vamo' pa'l mambo?
Tú me dice', mami
Zumba
¿Qué?
Ey, ey, ey
Hoy sí que sí, ah
Wuh
Ey
Dime pa' dónde vamo' después de la playa
Si nos secamo', yo traigo la toalla
Y de nuevo nos mojamo', pero en mi cama
Te vo'a dar tabla de surfear, bebé
Mami, tú vive' lejo' (¿Qué?)
Pero comoquiera yo vo'a buscarte (Wuh)
Porque tú 'tás buena y te lo merece' (Tú 'tás rica)
Al frente 'el mar es que yo quiero darte (Ah, ah, ah)
Pa' que se pongan contento' to' los pece' (Wuh)
Y tú estás mojá', yo estoy ready pa' surfearte (Estoy ready)
Tranquila, que yo sé que esto e' a vece' (Normal)
La otra ve' en la playa te emborrachaste y pediste que te bese (¿Cómo fue?), yeh
¿Cómo?
Ey, ey, ey, ey, ey, ey, ey, ey
Prende eso, prende eso, prende eso
¿Cómo?
Ando con El Apechao
Que no me llame nadie hoy, ¿okey?
Me lo vo'a beber to' (¡Ja!)
Ey, to' el mundo borracho bailando en la playa
Sintiendo el calor, sintiendo el calor
Tú llevas rato mirando y mirando
Pégate mejor, pégate mejor
De esa' chapa' se habla en toa' las barbería'
Y en el colmadón, y en el colmadón (¿Cómo?), ey
Tu novio se cree Romeo y yo le vo'a hacer como Don
Le vo'a hacer como Don, ¿qué, qué, qué?
(¿Qué tú dice'?)
Salí con tu mujer
Ya Dio' me perdonó, falta' tú
¿Qué, qué, qué?
'Toy borracho, borracho
Ey, ey, ey, ey, ey, ey
¿Qué tú dice', Beto?
No le vo'a bajar, ¿okey?
No le baje', no le baje'
Ah, ah, ah, ah, ah, ah, ah (¿Cómo?)
Ey, ey, ey, ey, ey
Qué gozadera
Ey, ey, ey, ey, ey
Que no se apague
Ey, ey, ey, ey
¿Pa'ónde vamo'? ¿Pa'ónde vamo'?
Dime, despué' de aquí
Mera
¿Y este cabrón quién e'? El que está cogiendo cerveza 'e la neverita, tú, allá
¿Anda' con nosotro'?
Ah, okey, okey, okey, okey, dale4
",2022
78,79,"""You Should Probably Leave""",Chris Stapleton,Country,Male,"
I know it ain't all that late
But you should probably leave
And I recognize that look in your eyes
Yeah, you should probably leave
'Cause I know you and you know me
And we both know where this is gonna lead
You want me to say that I want you to stay
So you should probably leave
Yeah, you should probably leave
There's still time for you to finish your wine
Then you should probably leave
And it's hard to resist, alright, just one kiss
Then you should probably leave
'Cause I know you and you know me
And we both know where this is gonna lead
You want me to say that I want you to stay
So you should probably leave
Yeah, you should probably leave
See Chris Stapleton LiveGet tickets as low as $7You might also like
Like a devil on my shoulder, you keep whisperin' in my ear
And it's gettin' kinda hard for me to do the right thing here
I wanna do the right thing, baby
Sun on your skin, 6AM
And I been watchin' you sleep
And honey, I'm so afraid you're gonna wake up and say
That you should probably leave
'Cause I know you and you know me
And we both know where this is gonna lead
I want you to stay but you'll probably say
That you should probably leave
Yeah, you should probably leave
Oh, you should probably leave1
",2022
79,80,"""Rockin' Around the Christmas Tree""",Brenda Lee,Rockabilly,Female,"
Ahh-ahh-ahh
Rockin' around the Christmas tree
At the Christmas party hop
Mistletoe hung where you can see
Every couple tries to stop
Rockin' around the Christmas tree
Let the Christmas spirit ring
Later, we'll have some pumpkin pie
And we'll do some caroling
You will get a sentimental feeling when you hear
Voices singing, ""Let's be jolly (Ooo)
Deck the halls with boughs of holly!""
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In the new old-fashioned way
You might also like
You will get a sentimental feeling when you hear
Voices singing, ""Let's be jolly (Ooo)
Deck the halls with boughs of holly!""
Rockin' around the Christmas tree
Have a happy holiday
Everyone's dancing merrily
In the new old fashioned way (Ahh)9
",2022
80,81,"""Broadway Girls""",Lil Durk featuring Morgan Wallen,Hip hop,Male,"
2 AM at a Broadway bar
She's puttin' her number in my phone (Broadway girls alone)
Two Bud Lights deep, and she's sayin' things she don't mean
And you know
I met her down at Aldean's
She said that she saw me walkin' in about a mile away
Bean just had to take her phone and that just took her smile away
She said I'm too drunk and crazy, she don't like the way I dance
I said, ""You don't have to join in,"" she said she'd take a chance
I've been kinda crazy ever since it went down
I get kind of lost, and, baby, this what I found
Girls like you just wanna take me around, around and around
You might also like
Oh, there's two things that you'rе gonna find out
They don't love you and they only lovе you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone (Leave 'em alone, leave 'em alone)
Them Broadway girls alone (Leave 'em alone, leave 'em alone)
Leave them Broadway girls alone
They town just told me, ""Don't trust 'em""
Broadway girls a trap
They on me, they tryna finesse me
They see me with Morgan and know that I rap
My horse is Porsches, turnin' me on
I jump on a horse, she get on the back
I went to the bar to go buy her a drink
She listen to P!nk, she told me she not into rap
I can't run out of money
The trenches love me forever
They treat me like Ed in London
Take her to pool, then got a beer for nothin'
Tecovas boots, guitar, cigar, the bar
She ridin' a bull like cars, she usually don't cool with stars
Now, there's two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone
Oh, think I oughta settle down
And find me somethin' I can take back to my hometown, oh
But I told 'em that I'm savage
They just tryna tell me there's
There's two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Two things that you're gonna find out
They don't love you and they only love you right now
If I was smarter, I'da stayed my ass at home
And leave them Broadway girls alone
Broadway girls, Broadway girls
Them Broadway girls alone
Broadway girls, Broadway girls
Leave them Broadway girls alone
'Lone, 'lone, Broadway girl
'Lone, 'lone, Broadway girls alone
'Lone, 'lone, Broadway girls
Broadway girls, Broadway girls alone

",2022
81,82,"""Take My Name""",Parmalee,Country,Group,"
Take my hand, let me make you mine
I'm through waitin', takin' my time
Never felt like this before
Take my name and make it yours
I hope you don't think it's a little bit crazy
Sayin' this all so soon
But baby, it's the right time, knew it from the first time
That I laid eyes on you
It's okay, let 'em say what they want
They might think I should wait, but I don't
Nah, I don't wanna waste a minute
Girl, I want you in every single part of my world
So take my hand, let me make you mine
I'm through waitin', takin' my time
Never felt like this before
Take my name and make it yours
I know I'm the last guy anybody think might
Ever be talking like this, yeah
But I can see my future in your eyes tonight
And taste forever on your lips
I'm like hold up a minute, don't go
Ain't no way I can take this slow, so
Go ahead and tell me I'm outta my mind
Or baby, just tell me yes
You might also like
Take my hand, let me make you mine
I'm through waitin', takin' my time
Never felt like this before
Take my name and make it yours
Take my days, baby, take my nights
Go and take the rest of my life
Oh, 'cause I don't wanna wait no more
Take my name and make it yours, yeah
Take it all
Baby, I don't ever want it back
Take it all
Yeah, everything that I have
Take my hand, let me make you mine
I'm through waitin', takin' my time
Never felt like this before
Take my name and make it yours
Take my days, baby, take my nights
Go and take the rest of my life
Oh, 'cause I don't wanna wait no more
Take my name and make it yours
Make it yours
Oh, 'cause I don't wanna wait no more
Take my name and make it yours1
",2022
82,83,"""What Happened to Virgil""",Lil Durk featuring Gunna,Hip Hop,Male,"
Banger
Oh yeah, I'm finna make a banger with this one
Last time you told me you proud of me, you wasn't proud of me, you was the nigga who doubted me
I was too mad at you, you let 'em come kill you, my brother, that shit was a tragedy
But magically, I got the strategy, I was so sick and tired of niggas keep asking me
""Who was the killers between the hood?"" (DJ on the beat, so it's a banger)
Bro, I'm a king, that mean we good
Talked to my tete about my problems
Learned to survive, I carry my chopper
Before I was twelve, I went to the doctor
Fucked on a stripper and I took me a Roxy
How you my blood and you say you gon' pop me?
Fall over loyalty, never 'bout thotties
Don't mention my name if you mentionin' bodies
Don't mention my name if you mentionin' bodies
Stopped taking drugs, had to sit in a sauna
How you gon' blame me? I gave her Gabbana
Bitch, I'm a star, gotta use condom
Don't drink Par, only like Wocka
Sippin' on Wocka, I feel like I'm Flocka
Shit in my pocket, that shit'll go blocka
Say that I'm mean, what you mean? I caught you
Get away from her, high speed, no tossin'
Called you a bitch, I'm sorry I lost you
Head down, X pill, Percocet, off it
Bitch, my phone died, pass me a charger
Ain't have a coat, walked to school in a thermal
Bitches you lookin' up to, they'll burn you
Get out my business, that shit don't concern you
I get to diggin' this shit when I learn you
I love the trenches, this shit is eternal
Oh my God, what happened to Virgil?
I wish my brother had made it out surgery
I be up thinkin', that shit do be hurtin' me
If they gon' catch me, them niggas gon' murder me (Oh no, oh)
Gave my bro twenty, he caught for a burglary
I love the bitches who say they ain't heard of me
Ever seen blood? That shit'll turn burgundy
See Lil Durk LiveGet tickets as low as $50You might also like
Oh my God, what happened to Virgil?
Oh my God, what happened to Virgil?
Fresh like the first day of school, I'm a scholar
Found the solution and got some more problems
We from the sandbox, my dawg since a toddler
Sixteen years old when I shot my first chopper
Flew out of Van Nuys, landed in Opa-locka
Quit flyin' in G5, fly helicopters (Fly helicopters)
I count every blessin', they count every dollar
I'm 'bout to go factory plain
I treat all of my dawgs the same
Take care all of my bitches the same
I just hope you financially sane
Never turning my back on the gang
From the A, we was taught to be brave
Had to squabble and take a few fades
Stay rock solid, you'll get through the phase
Damn my nigga, what happened to Virgil?
Talked to God, I don't wanna get murdered
I got style, I don't know what you heard of
You lil' pussy, you soft and fertile
Only real ones throughout my circle
Only real ones throughout my circle, oh
R.I.P. Prince, I'ma pour up some purple
600 Maybach, the one with the curtain
Young GunnaWunna, the boy bought the Birkin
I'm goin' hard, know you proud of me workin'
Ridin' round the town sippin' and swervin'
Hold it down, do this shit with a purpose
Louis down, man, this shit came from Virgil
Oh my God, what happened to Virgil?
Oh my God, what happened to Virgil?
Oh my God, what happened to Virgil?11
",2022
83,84,"""Puffin on Zootiez""",Future,Hip hop,Male,"
G5 the flight, man, I'm way in the sky
She finna tell me ""No way"" and it's cap
Nigga, can't even see me, I'm way in the sky
G5 the flight, nigga way in the sky
G5 the flight, man, I'm way outta here
G5 the flight, nigga, can't even see me
I'm way outta here, I'm too far in the sky
Hermès ashtray to dump my ashes
Bitch so pretty, look better than Cassie
Puffin' on zooties and she callin' me daddy
Walkin' on shit, turn it up and I gas it
Came out the gutter, it ain't nothin' for me to swag it
Secure the bag, got a bitch, I'ma bag it
Turnin' it up, gotta make sure shit good
Park it, two mil' in the middle of my hood
Drinkin' on mud, I made it out of thе sewer
Chrome Hеart accessories, whatever, I'm good
Lot of these niggas, they lookin' the same
They copy my lingo, they bitin' my chain
Championship, championship, Range just gon' amp this shit
Bitch break her neck just to look at the kid
Dirty the Fanta but make it in Canada
Bro get this money like it's my religion
It's gon' be a mad day, a sad day for any of these niggas
That try to compare whatever I did
Damn near touched a hundred, it just off the gig
I came out the jungle, they kidnapped a kid
I trap out a bando, spent ten on a crib
I look at the ocean to spot thirty M's
Pin it where I'm at, the city I'm in
I give you my fully, no matter where I'm in
Her hair touch her ass, she gon' think she Korean
You fuckin' me good, bitch, you helpin' me win
Niggas can't see me, ain't no competition
Too many bracelets, need a whole 'nother wrist
I'm never sober, don't think I'ma quit
I pop the E, I can feel when it kick
You might also like
G5 the flight, nigga, can't even see me
I'm way outta here, I'm too far in the sky
Hermès ashtray to dump my ashes
Bitch so pretty, look better than Cassie
Puffin' on zooties and she callin' me daddy
Walkin' on shit, turn it up and I gas it
Came out the gutter, it ain't nothin' for me to swag it
Secure the bag, got a bitch, I'ma bag it
Turnin' it up, gotta make sure shit good
Park it, two mil' in the middle of my hood
Drinkin' on mud, I made it out of the sewer
Chrome Heart accessories, whatever, I'm good
Lot of these niggas, they lookin' the same
They copy my lingo, they bitin' my chain
Championship, championship, Range just gon' amp this shit
Bitch break her neck just to look at the kid
Count up some millions then take some more drugs
Been stuck in my memory, they wasn't showing love
Ain't matching my fly, bitch, you know you a dub
I started this wave and ain't using a brush
Stopped taking molly, I'm back on the E
Flying commercial, you ain't high as me
Driving a spaceship, the one with the wings
Cross up the trap, I done broke down a key
Ain't let no fuck nigga holdin' me back
Put a switch on it, these lil' niggas whack
After I hit your bitch, givin' her back
Ain't got no roof, put her heart on a strap
Go to the moon, ain't gon' show you no slatt
Pluto tycoon, ain't no regular 'Cat
Took a few shrooms, I forget where I'm at
Poppin' a Tesla, I feel when it kick
G5 the flight, nigga, can't even see me
I'm way outta here, I'm too far in the sky
Hermès ashtray to dump my ashes
Bitch so pretty, look better than Cassie
Puffin' on zooties and she callin' me daddy
Walkin' on shit, turn it up and I gas it
Came out the gutter, it ain't nothin' for me to swag it
Secure the bag, got a bitch, I'ma bag it
Turnin' it up, gotta make sure shit good
Park it, two mil' in the middle of my hood
Drinkin' on mud, I made it out of the sewer
Chrome Heart accessories, whatever, I'm good
Lot of these niggas, they lookin' the same
They copy my lingo, they bitin' my chain
Championship, championship, Range just gon' amp this shit
Bitch break her neck just to look at the kid10
",2022
84,85,"""Like I Love Country Music""",Kane Brown,Country,Male,"
Let's get it
Girl, you gone and done it to me, hotter than a hoochie-coochie
Got me like the first time I heard Alan Jackson ""Chattahoochee""
I was never the same again, I'm a lifelong fan
Yes, I am
Baby, I love you like I love country music
You get me high as Willie, girl, you get me gone as Jones
You turn me on as much as I turn on my radio
Let's take our time, walk the line kinda like
Johnny and June did, yeah, let's do this
Baby, I love you like I love country music
'Causе I could never live without ya or my favoritе songs about ya
Top-to-bottom perfect, you're like Brooks & Dunn's debut album
You got me feelin' like I'm a brand new man (Oh, I'm a brand new man)
Yes, I am
Baby, I love you like I love country music
(Yeah, I love country music, oh)
See Kane Brown LiveGet tickets as low as $30You might also like
You get me high as Willie, girl, you get me gone as Jones
You turn me on as much as I turn on my radio
Let's take our time, walk the line kinda like
Johnny and June did, yeah, let's do this
Baby, I love you like I love country music
Hit 'em with it, woo
Play that fiddle
If I was stranded on an island, only way I could survive is
If I had you and that needle droppin' on a vinyl
You get me high as Willie, girl, you get me gone as Jones
You turn me on as much as I turn on my radio
Let's take our time, walk the line kinda like
Johnny and June did, yeah, let's do this
Baby, I love you like I love country music
Oh, baby, I love you like I love country music
Yeah, that's right
One, two, one, two, three, woo
That's right
Baby, I love you like I love country music
Hit 'em again
",2022
85,86,"""Jingle Bell Rock""",Bobby Helms,Christmasrock and rollrockabillycountry,Male,"
Jingle bell, jingle bell, jingle bell rock
Jingle bells swing and jingle bells ring
Snowin' and blowin' up bushels of fun
Now, the jingle hop has begun
Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air
What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh
Giddy up, jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell rock
Jingle bell, jingle bell, jingle bell rock
Jingle bells chime in jingle bell time
Dancin' and prancin' in Jingle Bell Square
In the frosty air
You might also like
What a bright time, it's the right time
To rock the night away
Jingle bell time is a swell time
To go glidin' in a one-horse sleigh
Giddy up, jingle horse, pick up your feet
Jingle around the clock
Mix and a-mingle in the jinglin' feet
That's the jingle bell
That's the jingle bell
That's the jingle bell rock7
",2022
86,87,"""Ojitos Lindos""",Bad Bunny and Bomba Estéreo,Reggaeton,Male,"

Hace mucho tiempo le hago caso al corazón
Y pasan los día', los mese’ pensando en tu olor (En tu olor, en tu olor)
Ha llegado el tiempo para usar la razón
Ante' que sea tarde y sin querer me parta en do' (Parta en do’)
Ante' de que salga el sol, hunde el acelerador
Aunque vaya sin freno' y pierda el control
Nada má' seremos do', tú y yo acariciándono'
En medio del tiempo, sin decir adió'
Y solo mírame (Mírame) con esos ojito' lindo’ (Lindo’)
Que con еso yo estoy bien (-toy bien), hoy hе vuelto a nacer (Nacer)
Hace tiempo (Tiempo) que no agarro a nadie de la mano (Mano)
Hace tiempo (Tiempo) que no envío ""Buenos días, te amo"" (Te amo)
Pero, tú me tiene' enreda’o (Enreda'o), me envolví (Envolví)
Iba por mi camino y me perdí (Ey, ey)
Mi mirada cambió cuando tus ojos vi (Tus ojos vi)
Bye-bye a los culo', ni me despedí
Yo no te busqué (-qué), no (No), chocamo' en el trayecto
Con tu alma es la que yo conecto (-necto)
Tranquila, no tiene que ser perfecto, no
Aquí no existe el pecado (-cado) y equivocarse es bonito
Los errore’ son placere' (-cere'), igual que to' tus besito'
You might also like
Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')
Que con eso yo estoy bien (-toy bien), hoy he vuelto a nacer (Nacer)
Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')
Que con eso yo estoy bien (-toy bien), hoy he vuelto a nacer (Nacer)
Tú y yo, tú y yo, tú y yo
Tú y yo, tú y yo
Tú y yo, tú y yo, tú y yo
Tú y yo, tú y yo
Tú y yo, tú y yo
Tú y yo, tú y yo
Yo no me dejo llevar de nadie
Yo solo me dejo llevar de tu sonrisa (-risa)
Y del lunar cerquita de tu boca (Boca)
Si yo estoy loco, tú estás loquita (-quita)
Pero, baby, como tú no hay otra, no (No)
Quiero regalarte girasole' (-sole')
Ir pa' la playa y buscarte caracole'
Cuando estoy contigo, yo no miro el Role' (Role')
Vamo' a bailar doscientas cancione' (-cione')
Nadie me pone como tú me pone' (Pone')
Mm-mmm, mm-mmm-mmm-mmm
Mm-mmm, mm-mmm-mmm-mmm
Yo le hablo a Dio' y tú ere' su respuesta
Aprendí que los momento' lindo' nunca cuestan
Como cuando me regalas tu mirada
Y el sol su puesta, y el sol su puesta
Ey, ey, cuando estoy encima de ti, de ti
Mami, yo me olvido de to', de to'
No hace falta nadie aquí
Solamente tú y yo
Ante' de que salga el sol, hunde el acelerador
Aunque vaya sin freno' y pierda el control
Nada má' seremos do', tú y yo acariciándono'
En medio del tiempo, sin decir adió'
Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')
Que con eso yo estoy bien (-toy bien), hoy he vuelto a nacer (Nacer)
Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')
Que con eso yo estoy bien (-toy bien), hoy he vuelto a nacer (Nacer)8
",2022
