42,"""Feel So Close""",Calvin Harris,Electro housedance-pop,Unknown
43,"""Someone like You""",Adele,Pop,Female
44,"""Scream""",Usher,Techno-pop,Male
45,"""Rack City""",Tyga,Hip hop,Male
46,"""Domino""",Jessie J,Electropop,Female
47,"""Gangnam Style""",Psy,K-pop,Male
48,"""International Love""",Pitbull featuring Chris Brown,Dance-pop,Male
49,"""Home""",Phillip Phillips,Folk rock,Male
50,"""Without You""",David Guetta featuring Usher,None,Male
51,"""Ass Back Home""",Gym Class Heroes featuring Neon Hitch,Pop-rap,Group
52,"""Wanted""",Hunter Hayes,Countrycountry pop,Male
53,"""Drunk on You""",Luke Bryan,Country,Male
54,"""No Lie""",2 Chainz featuring Drake,Hip hoptrap,Male
55,"""Want U Back""",Cher Lloyd,Pop,Female
56,"""Don't Wake Me Up""",Chris Brown,"Dance-pop, EDM",Male
57,"""Dance (A$$)""",Big Sean featuring Nicki Minaj,Hip hop,Male
58,"""Springsteen""",Eric Church,Countryheartland rock,Male
59,"""Brokenhearted""",Karmin,Dance-pop,Unknown
60,"""Not Over You""",Gavin DeGraw,Pop rockblue-eyed soul,Male
61,"""Stereo Hearts""",Gym Class Heroes featuring Adam Levine,Pop-rap,Group
62,"""Back in Time""",Pitbull,Dancedubstep,Male
63,"""Work Out""",J. Cole,Hip hopR&B,Male
64,"""Rumour Has It""",Adele,Bluespopjazz,Female
65,"""Let's Go""",Calvin Harris featuring Ne-Yo,None,Unknown
66,"""Good Girl""",Carrie Underwood,Country rock,Female
67,"""Pontoon""",Little Big Town,Country,Unknown
68,"""Ho Hey""",The Lumineers,"Folk rock, alternative rock",Group
69,"""Paradise""",Coldplay,Alternative rock,Group
70,"""Blown Away""",Carrie Underwood,Country pop,Female
71,"""Rolling in the Deep""",Adele,Rhythm and bluessoul,Female
72,"""Climax""",Usher,Quiet storm,Male
73,"""Work Hard, Play Hard""",Wiz Khalifa,Hip hop,Male
74,"""Let Me Love You (Until You Learn to Love Yourself)""",Ne-Yo,Europopdance-popsynth-pop,Male
75,"""Pound the Alarm""",Nicki Minaj,Eurodance,Female
76,"""Come Over""",Kenny Chesney,Country,Male
77,"""Heart Attack""",Trey Songz,R&B,Male
78,"""Drank in My Cup""",Kirko Bangz,"Pop-rap, chopped and screwed",Male
79,"""Birthday Cake""",Rihanna featuring Chris Brown,R&B,Female
80,"""So Good""",B.o.B,Pop-rap,Male
81,"""50 Ways to Say Goodbye""",Train,Pop rock,Group
82,"""Red Solo Cup""",Toby Keith,Country,Male
83,"""Love You like a Love Song""",Selena Gomez & the Scene,Electropopdance-pop,Group
84,"""Turn Up the Music""",Chris Brown,Electro house,Male
85,"""Die Young""",Kesha,Electropopdance-pop,Female
86,"""5 O'Clock""",T-Pain featuring Wiz Khalifa and Lily Allen,Hip hopR&B,Male
87,"""A Thousand Years""",Christina Perri,None,Female
88,"""Take a Little Ride""",Jason Aldean,Country,Male
89,"""You da One""",Rihanna,Pop,Female
90,"""We Run the Night""",Havana Brown featuring Pitbull,Dance-popEurodance,Female
91,"""It's Time""",Imagine Dragons,Alternative rock,Group
92,"""Cashin' Out""",Cash Out,Hip hop,Male
93,"""I Don't Want This Night to End""",Luke Bryan,Country,Male
94,"""Diamonds""",Rihanna,Pop,Female
95,"""Hard to Love""",Lee Brice,Country,Male
96,"""Somethin' 'Bout a Truck""",Kip Moore,"Country, country rock",Male
97,"""Adorn""",Miguel,R&Belectro soul,Male
98,"""Fly Over States""",Jason Aldean,Country,Male
99,"""Even If It Breaks Your Heart""",Eli Young Band,Country,Unknown
100,"""Burn It Down""",Linkin Park,Electronic rock,Group
